"country_code","month","day","relative_active_users"
country52,1,26,0.12854437822522315144
country67,2,20,0.000011686737924863079152
country55,4,21,0.000017530106887294618729
country173,2,20,0.00017919664818123388
country192,6,7,0.000001947789654143846525
country147,6,3,0.00018504001714366542
country29,4,26,0.000001947789654143846525
country203,1,27,0.000007791158616575386102
country28,6,3,0.00106349315116254020
country170,5,10,0.00023568254815140543
country211,6,13,0.00387610141174625459
country221,3,7,0.000031164634466301544406
country170,5,3,0.00025126486538455620
country33,5,27,0.00296843143291522210
country159,3,26,0.01824689348001955425
country231,4,27,0.000015582317233150772203
country31,4,4,0.00012465853786520618
country124,3,23,0.00554730493500167490
country84,5,31,0.000001947789654143846525
country82,4,15,0.000015582317233150772203
country35,3,17,0.00086287081678572401
country107,6,2,0.00150174582334490567
country51,4,24,0.00500581941114968557
country142,5,13,0.00104011967531281404
country56,2,4,0.000005843368962431539576
country77,1,20,0.00039929687909948854
country189,6,7,0.000013634527579006925678
country172,6,27,0.000001947789654143846525
country20,5,14,0.01664581038431331241
country168,3,11,0.00261588150551518588
country79,2,6,0.00016750991025637080
country149,4,8,0.00010712843097791156
country94,6,16,0.000027269055158013851356
country52,5,11,0.09109422654499941430
country91,3,12,0.000040903582737020777033
country206,6,15,0.01173543266621667532
country16,5,21,0.00357808959466224607
country47,6,30,0.00013829306544421310
country83,3,8,0.00116672600283216407
country78,4,5,0.00012076295855691848
country151,2,27,0.000025321265503870004830
country122,2,2,0.000054538110316027702711
country101,2,27,0.00034281097912931699
country198,6,25,0.000021425686195582311779
country18,4,28,0.00706268528592558750
country35,3,18,0.00088040092367301863
country30,4,19,0.00036618445497904315
country205,6,12,0.000021425686195582311779
country189,6,27,0.000011686737924863079152
country112,4,19,0.00026100381365527543
country3,3,25,0.00368716581529430147
country16,2,14,0.00359951528085782838
country21,4,26,0.000005843368962431539576
country155,6,28,0.000003895579308287693051
country14,1,13,0.00093493903398904633
country226,3,21,0.00238604232632621199
country91,3,13,0.000038955793082876930508
country63,1,11,0.00014024085509835695
country127,1,7,0.00259835139862789126
country198,1,12,0.000029216844812157697881
country126,6,13,0.00055512005143099626
country25,1,5,0.000005843368962431539576
country110,2,23,0.000058433689624315395762
country167,1,12,0.000035060213774589237457
country218,6,27,0.000077911586165753861016
country166,1,31,0.00026489939296356313
country126,1,6,0.00051421646869397548
country57,5,12,0.00209776945751292271
country115,2,10,0.000007791158616575386102
country56,3,27,0.000019477896541438465254
country34,1,15,0.000001947789654143846525
country32,4,30,0.00589985486240171113
country231,3,24,0.000019477896541438465254
country46,3,16,0.00033501982051274160
country8,6,10,0.000062329268932603088813
country87,2,28,0.000019477896541438465254
country56,3,16,0.000019477896541438465254
country229,6,1,0.00012660632751935002
country209,5,27,0.01805406230425931344
country57,6,2,0.00224580147122785504
country51,2,18,0.00456951452862146395
country50,6,9,0.00015777096198565157
country100,3,13,0.000097389482707192326270
country9,1,8,0.00160108309570624184
country124,3,29,0.00529604006961711870
country111,5,18,0.00037981898255805007
country208,4,9,0.00043825267218236547
country89,3,30,0.000001947789654143846525
country155,6,10,0.000005843368962431539576
country147,3,25,0.00023373475849726158
country109,2,16,0.02087640951311374706
country127,5,7,0.00213282967128751195
country229,2,10,0.00014218864475250080
country48,1,30,0.000040903582737020777033
country17,5,2,0.00013634527579006926
country203,2,2,0.000005843368962431539576
country150,5,18,0.000005843368962431539576
country158,3,24,0.000007791158616575386102
country50,6,6,0.00014803201371493234
country125,6,9,0.000015582317233150772203
country11,3,11,0.01385462780992518034
country217,6,8,0.00652899092069017355
country165,5,15,0.000001947789654143846525
country232,1,1,0.000003895579308287693051
country129,5,25,0.000019477896541438465254
country107,3,13,0.00178417532319576342
country180,4,22,0.00074210785822880553
country49,5,15,0.000081807165474041554067
country10,5,5,0.000001947789654143846525
country182,2,5,0.00027074276192599467
country22,6,25,0.000062329268932603088813
country108,6,15,0.00824694139564504619
country207,1,26,0.02072448192009052703
country115,5,5,0.000011686737924863079152
country108,5,12,0.00751652027534110374
country153,1,29,0.00223411473330299196
country138,6,22,0.00012271074821106233
country220,3,10,0.000007791158616575386102
country152,2,15,0.000021425686195582311779
country121,6,29,0.000001947789654143846525
country226,4,7,0.00219515894022011503
country18,5,25,0.00794892957856103767
country149,3,17,0.00010712843097791156
country56,5,30,0.000007791158616575386102
country196,2,24,0.000001947789654143846525
country30,6,17,0.00053564215488955779
country48,1,15,0.000023373475849726158305
country163,1,14,0.000081807165474041554067
country98,2,10,0.00011102401028619925
country31,1,17,0.00014218864475250080
country53,4,21,0.000093493903398904633219
country172,1,31,0.000019477896541438465254
country17,1,9,0.00018893559645195311
country121,6,23,0.000001947789654143846525
country43,6,3,0.00734316699612230140
country227,2,24,0.00024542149642212466
country153,6,24,0.00197505870930186038
country26,4,25,0.000013634527579006925678
country179,1,12,0.00011491958959448694
country94,3,14,0.000033112424120445390932
country158,5,25,0.000001947789654143846525
country94,4,6,0.000035060213774589237457
country116,1,6,0.000003895579308287693051
country144,5,15,0.00139656518202113796
country137,2,13,0.00450913304934300471
country52,1,3,0.10881521681840012999
country6,6,10,0.00291389332259919440
country175,4,22,0.00011881516890277464
country11,2,14,0.01462790030262028741
country19,3,17,0.000017530106887294618729
country191,1,26,0.000021425686195582311779
country64,4,12,0.000056485899970171549236
country219,4,30,0.00017919664818123388
country6,6,16,0.00294116237775720825
country152,2,19,0.000019477896541438465254
country119,3,6,0.00014997980336907618
country130,6,9,0.000056485899970171549236
country169,1,6,0.00334630262581912833
country109,6,8,0.01403382445810641422
country156,4,8,0.000019477896541438465254
country216,5,8,0.000017530106887294618729
country96,5,6,0.000003895579308287693051
country169,5,17,0.00280286931231299515
country180,4,18,0.00082196723404870323
country211,4,20,0.00341642305336830681
country216,1,20,0.000011686737924863079152
country189,1,11,0.000003895579308287693051
country144,6,17,0.00162250878190182416
country73,4,7,0.000037008003428733083982
country150,2,9,0.000011686737924863079152
country173,5,15,0.00017919664818123388
country147,3,27,0.00021036128264753542
country212,5,20,0.000009738948270719232627
country159,2,18,0.01502330160241148825
country135,1,5,0.000054538110316027702711
country190,1,31,0.000003895579308287693051
country175,4,8,0.00011881516890277464
country83,2,29,0.00110634452355370483
country118,2,8,0.000001947789654143846525
country191,2,19,0.000009738948270719232627
country156,4,29,0.000019477896541438465254
country148,5,30,0.000033112424120445390932
country101,1,26,0.00036813224463318699
country28,1,5,0.00103038072704209481
country55,3,12,0.000027269055158013851356
country101,6,1,0.00030775076535472775
country222,2,4,0.000013634527579006925678
country227,2,16,0.00024542149642212466
country49,4,7,0.000068172637895034628389
country111,2,10,0.00048694741353596163
country4,2,23,0.000027269055158013851356
country168,5,31,0.00255550002623672664
country136,6,14,0.00015777096198565157
country36,6,25,0.000009738948270719232627
country23,5,26,0.01092320438043869131
country181,1,10,0.00052005983765640702
country129,1,14,0.000017530106887294618729
country23,5,11,0.00929680001922857947
country194,2,8,0.00490453434913420555
country191,4,18,0.000007791158616575386102
country218,4,18,0.000037008003428733083982
country10,5,6,0.000001947789654143846525
country227,2,10,0.00019672675506852850
country67,4,15,0.000005843368962431539576
country97,5,7,0.000027269055158013851356
country184,2,1,0.000001947789654143846525
country133,5,9,0.000011686737924863079152
country207,1,8,0.01752036793902389950
country2,3,20,0.08902956951160693698
country132,3,14,0.000001947789654143846525
country45,1,27,0.00821577676117874464
country2,1,29,0.07947371346837722593
country217,4,14,0.00561742536255085338
country158,3,15,0.000001947789654143846525
country157,5,3,0.00027269055158013851
country114,5,9,0.000005843368962431539576
country167,1,23,0.000040903582737020777033
country53,3,27,0.00012855411717349387
country176,4,7,0.00162445657155596800
country167,3,9,0.000025321265503870004830
country156,5,6,0.000011686737924863079152
country53,4,2,0.00011881516890277464
country45,3,8,0.01044015254621101738
country27,3,16,0.000001947789654143846525
country67,5,6,0.000007791158616575386102
country140,2,16,0.000005843368962431539576
country225,3,26,0.00016945769991051465
country95,6,24,0.000011686737924863079152
country102,3,8,0.00025905602400113159
country91,4,21,0.000027269055158013851356
country36,5,10,0.000009738948270719232627
country198,1,11,0.000025321265503870004830
country82,1,24,0.000013634527579006925678
country28,2,27,0.00105180641323767712
country102,1,31,0.00025321265503870005
country133,1,4,0.000015582317233150772203
country219,4,9,0.00017335327921880234
country107,5,23,0.00155238835435264568
country118,2,6,0.000005843368962431539576
country166,6,1,0.00017530106887294619
country7,1,17,0.01098942922867958210
country3,5,18,0.00242499811940908892
country113,3,22,0.00238409453667206815
country13,4,5,0.000015582317233150772203
country143,4,20,0.000001947789654143846525
country221,4,4,0.000025321265503870004830
country229,2,3,0.00015192759302322003
country181,2,17,0.00051811204800226318
country123,6,26,0.000001947789654143846525
country60,3,27,0.00240552022286765046
country79,1,28,0.00015582317233150772
country34,1,26,0.000001947789654143846525
country212,5,5,0.000017530106887294618729
country134,5,13,0.000005843368962431539576
country163,6,5,0.000058433689624315395762
country226,4,4,0.00221268904710740965
country13,3,23,0.000017530106887294618729
country67,1,8,0.000007791158616575386102
country26,1,7,0.000023373475849726158305
country64,4,16,0.000060381479278459242287
country134,4,3,0.000005843368962431539576
country179,6,2,0.00010712843097791156
country215,5,27,0.000064277058586746935338
country21,3,30,0.000003895579308287693051
country53,2,19,0.000097389482707192326270
country149,4,9,0.000093493903398904633219
country214,1,6,0.00471170317337396474
country46,6,28,0.00034281097912931699
country214,4,2,0.00574792726937849110
country3,4,26,0.00266068066756049435
country115,1,30,0.000013634527579006925678
country167,4,30,0.000029216844812157697881
country169,4,1,0.00362483654636169838
country185,1,12,0.00647640060002828970
country35,2,24,0.00083949734093599785
country67,2,19,0.000013634527579006925678
country133,4,30,0.000017530106887294618729
country119,3,7,0.00013050190682763772
country131,3,12,0.000005843368962431539576
country223,6,25,0.00256329118485330203
country194,4,16,0.00550445356261051028
country59,6,17,0.000011686737924863079152
country182,6,22,0.00023957812745969312
country7,2,22,0.01195942847644321767
country212,1,14,0.000013634527579006925678
country130,1,21,0.000066224848240890781863
country33,5,9,0.00282429499850857746
country183,3,13,0.00024152591711383697
country148,3,4,0.000037008003428733083982
country190,6,25,0.000003895579308287693051
country189,1,12,0.000007791158616575386102
country81,4,2,0.000001947789654143846525
country47,2,3,0.00012076295855691848
country142,5,28,0.00111218789251613637
country227,5,5,0.00016750991025637080
country167,2,28,0.000037008003428733083982
country160,4,28,0.00042267035494921470
country13,4,25,0.000017530106887294618729
country189,2,26,0.000013634527579006925678
country211,1,15,0.00391310941517498767
country194,6,8,0.00514800805590218637
country205,6,23,0.000025321265503870004830
country166,4,30,0.00020646570333924773
country95,3,31,0.000017530106887294618729
country155,2,17,0.000011686737924863079152
country118,6,1,0.000001947789654143846525
country124,2,20,0.00556873062119725722
country2,6,4,0.07106315774178409663
country2,2,4,0.07695911702487752006
country218,1,6,0.000048694741353596163135
country130,5,9,0.000044799162045308470084
country17,1,25,0.00016166654129393926
country145,6,9,0.00027269055158013851
country114,4,30,0.000003895579308287693051
country176,5,1,0.00196531976103114114
country130,1,16,0.000070120427549178474914
country177,1,1,0.00246005833318367816
country228,6,14,0.00133618370274267872
country163,3,1,0.000070120427549178474914
country218,4,12,0.000035060213774589237457
country160,5,10,0.00038371456186633777
country97,4,5,0.000009738948270719232627
country194,2,16,0.00517332932140605637
country212,5,12,0.000017530106887294618729
country100,2,28,0.00011881516890277464
country36,6,26,0.000003895579308287693051
country16,5,9,0.00280092152265885130
country112,6,20,0.00030190739639229621
country38,4,9,0.000001947789654143846525
country4,5,20,0.000023373475849726158305
country200,1,24,0.000009738948270719232627
country21,4,5,0.000007791158616575386102
country10,5,27,0.000001947789654143846525
country218,2,1,0.000052590320661883856186
country67,2,14,0.000011686737924863079152
country160,3,29,0.00044214825149065316
country201,2,18,0.000003895579308287693051
country103,2,25,0.00064666616517575705
country167,3,17,0.000033112424120445390932
country35,3,25,0.00090572218917688863
country96,4,24,0.000005843368962431539576
country189,2,14,0.000007791158616575386102
country163,5,28,0.000044799162045308470084
country112,6,6,0.00030969855500887160
country69,5,29,0.000079859375819897707541
country58,4,10,0.000052590320661883856186
country162,5,25,0.000054538110316027702711
country71,6,22,0.00494154235256293863
country189,1,27,0.000005843368962431539576
country180,6,10,0.00074016006857466168
country130,4,5,0.000046746951699452316609
country104,2,7,0.00424228586672529773
country94,2,24,0.000038955793082876930508
country73,6,30,0.000042851372391164623559
country5,5,3,0.00067977858929620244
country142,2,4,0.00132060138550952794
country89,3,21,0.000009738948270719232627
country14,5,25,0.00077132470304096322
country175,6,13,0.00011102401028619925
country175,5,25,0.00013829306544421310
country201,3,25,0.000007791158616575386102
country198,6,5,0.000019477896541438465254
country118,5,31,0.000001947789654143846525
country194,5,30,0.00503308846630769942
country86,3,25,0.000044799162045308470084
country218,2,18,0.000048694741353596163135
country228,6,29,0.00124268979934377408
country63,3,3,0.00015387538267736388
country128,4,6,0.000003895579308287693051
country201,4,5,0.000007791158616575386102
country214,1,22,0.00517527711106020022
country3,6,12,0.00263535940205662435
country49,4,18,0.000075963796511610014490
country39,1,16,0.00092325229606418325
country161,5,3,0.00207050040235490886
country188,1,24,0.000003895579308287693051
country26,2,14,0.000013634527579006925678
country179,4,12,0.000099337272361336172795
country168,3,27,0.00271911435718480975
country170,4,22,0.00027853392054257005
country206,1,29,0.01566996776758724530
country87,5,27,0.000007791158616575386102
country56,1,3,0.000017530106887294618729
country67,5,28,0.000009738948270719232627
country172,3,17,0.000015582317233150772203
country177,1,20,0.00242305032975494508
country134,2,4,0.000005843368962431539576
country126,5,26,0.00046357393768623547
country140,5,28,0.000001947789654143846525
country152,2,2,0.000031164634466301544406
country113,3,1,0.00218541999194939580
country125,6,20,0.000017530106887294618729
country212,5,15,0.000011686737924863079152
country152,3,28,0.000025321265503870004830
country1,4,23,0.000001947789654143846525
country118,1,19,0.000001947789654143846525
country131,4,25,0.000009738948270719232627
country110,6,3,0.000081807165474041554067
country223,1,25,0.00222827136434056043
country22,6,20,0.000070120427549178474914
country159,5,3,0.01496292012313302901
country1,6,17,0.000001947789654143846525
country48,2,3,0.000033112424120445390932
country130,4,26,0.000048694741353596163135
country53,4,28,0.000097389482707192326270
country20,3,4,0.01548492775044357988
country129,4,27,0.000015582317233150772203
country124,2,18,0.00576350958661164187
country22,1,6,0.000068172637895034628389
country87,2,14,0.000019477896541438465254
country64,4,15,0.000056485899970171549236
country209,6,5,0.01962398076549925374
country208,3,3,0.00040903582737020777
country61,4,16,0.01033302411523310582
country46,2,4,0.00026295160330941928
country83,5,26,0.00094078240295147787
country153,5,30,0.00189714712313610652
country225,6,4,0.00017724885852709003
country68,4,19,0.000058433689624315395762
country2,1,16,0.07575148743930833522
country109,2,10,0.01922273609674562136
country169,3,13,0.00378455529800149380
country13,3,15,0.000019477896541438465254
country11,1,11,0.01236846430381342544
country135,2,23,0.000038955793082876930508
country160,4,8,0.00043825267218236547
country167,2,29,0.000031164634466301544406
country17,4,4,0.00013244969648178156
country85,4,18,0.00447212504591427162
country134,3,2,0.000017530106887294618729
country110,5,17,0.000075963796511610014490
country74,5,14,0.00143941655441230258
country158,4,1,0.000003895579308287693051
country208,6,27,0.00032722866189616622
country218,5,19,0.000056485899970171549236
country79,6,2,0.00015582317233150772
country122,4,7,0.000054538110316027702711
country108,2,4,0.00971362700521536262
country141,1,16,0.03276376977235364240
country7,4,19,0.01008955040846512500
country169,4,11,0.00307361207423898982
country130,3,4,0.000048694741353596163135
country22,5,27,0.000046746951699452316609
country5,3,2,0.00073626448926637399
country207,2,6,0.02030181156514131233
country89,1,22,0.000005843368962431539576
country111,4,18,0.00036618445497904315
country205,3,2,0.000015582317233150772203
country24,4,7,0.000003895579308287693051
country218,2,10,0.000048694741353596163135
country36,3,29,0.000009738948270719232627
country142,1,24,0.00139266960271285027
country181,3,27,0.00069730869618349706
country94,2,8,0.000035060213774589237457
country126,3,1,0.00045967835837794778
country176,6,26,0.00206660482304662116
country45,3,11,0.01079854584257348514
country42,5,15,0.00041293140667849546
country211,5,14,0.00392869173240813844
